route,destination
55K,Scindia to Kothavalasa via Gajuwaka NAD
55,Scindia to Simhachalam
10K,RTC Complex to Kailasagiri
28A,RK Beach to Simhachalam
38,RTC Complex to Gajuwaka
400N,Gajuwaka to RTC Complex
900K,RTC Complex to Bheemili
