route,destination
764,Nehru Place Terminal
764A,Nehru Place Terminal
764EXT,Najafgarh Terminal
534,Mehrauli Terminal
543,Anand Vihar ISBT
419,Ambedkar Nagar Terminal
108,Nehru Place
502,Mehrauli
423,Mori Gate
615,Moti Bagh
